avgrate,numstores,defrate,pdrad3,pnrad3,totrad3,unrt_zip,medtotinc2010,edbachplus_zip,pop_zip,mdage_zip,pctblk2_zip
521.4299927,23,24.39024353,7,3,12,5.7,38485.44531,40.2,44821,33.6,1
521.4299927,23,38.59648895,15,2,18,7.1,31289.11133,14.1,68295,29.2,2.2
521.4299927,23,38.95486832,6,3,11,7.1,31289.11133,14.1,68295,29.2,2.2
521.4299927,23,27.35229683,28,29,58,9.2,31421.22266,11.3,26524,28.5,1.4
521.4299927,23,30.05566025,22,17,42,7.5,27502,22.3,28936,30.8,2.7
521.4299927,23,28.14895821,21,15,38,7.5,27502,22.3,28936,30.8,2.7
521.4299927,23,34.02061844,21,15,38,10.8,24939.33398,14.8,33297,28.9,5.6
521.4299927,23,22.36286926,15,7,23,7.4,34078.60938,23.5,35603,29.1,1.6
521.4299927,23,25.28409004,18,6,24,9.9,23155.38867,11.1,24869,27.5,5.1
521.4299927,23,37.77777863,28,14,43,9.9,23155.38867,11.1,24869,27.5,5.1
521.4299927,23,30.26585007,22,12,37,7.5,27502,22.3,28936,30.8,2.7
521.4299927,23,28.49462318,25,25,52,8.9,23110.88867,21.5,24668,30.9,5.4
521.4299927,23,37.5,16,7,24,8.9,23110.88867,21.5,24668,30.9,5.4
521.4299927,23,23.95833206,17,11,30,8.2,25789.88867,13.5,53077,29.6,3.6
521.4299927,23,29.62382507,11,10,22,8.9,29937.33398,23.2,37900,31.3,3.3
521.4299927,23,27.18446541,20,17,41,6,43374.33203,19.7,44310,29.1,1.3
521.4299927,23,27.95698929,24,23,52,7.4,34078.60938,23.5,35603,29.1,1.6
454.2999878,3,3.440000057,10,5,13,12.8,26135.38867,32.3,19705,25.1,1.1
450.019989,3,8.880000114,15,7,23,8.3,33006.89063,15.8,56363,30.2,2
460.8900146,3,4.079999924,14,8,19,7.5,33565,28.1,35770,34.9,0.9
408.3141785,7,10.23622036,24,15,42,6,29491.77734,28.1,30863,32.2,3.1
385.9529419,7,16.28664398,17,12,31,6.4,31368.16602,41.4,21322,28.6,0.9
354.4240417,7,12.66375446,13,8,20,5.6,37309,22.1,31348,30.9,2.1
398.2278748,7,9.351144791,23,18,43,8.8,24241.44531,28.6,10744,32.9,4.6
446.8658142,7,10.88000011,10,19,28,7.8,28512,13.2,48956,29.2,2.3
474.1852112,7,6.91823864,3,1,4,7.4,33604.94531,12.6,27983,27.7,2.2
466.8575439,7,13.10679626,18,11,31,7.4,34078.60938,23.5,35603,29.1,1.6
521.4299927,1,6.5,7,3,12,5.7,38485.44531,40.2,44821,33.6,1
385.4812317,28,9.190962791,8,2,11,5.3,39580.39063,42.8,42384,26.2,0.7
391.2096558,28,10.63338947,7,2,10,5.3,39580.39063,42.8,42384,26.2,0.7
401.4945068,28,10.81081104,4,0,4,5.5,52972.89063,37.1,39765,30,1.5
394.4425964,28,12.34627438,17,6,23,5.4,36232.55469,26.7,44625,27.9,2.9
395.8145752,28,11.67449856,6,4,11,7.2,35390.44531,36.3,10094,26.2,0.8
386.6339417,28,13.11699009,11,2,13,4,28902.66602,45.9,20109,25.4,1.4
402.6547241,28,10.73936367,26,14,42,7.5,27502,22.3,28936,30.8,2.7
400.7564697,28,11.78559399,22,12,37,7.5,27502,22.3,28936,30.8,2.7
400.3803406,28,12.57599449,21,18,42,6,29491.77734,28.1,30863,32.2,3.1
385.4574585,28,10.67604828,18,5,23,7.4,31611,30.9,36582,30.7,2.3
377.9818726,28,16.13018608,15,6,22,8.3,33006.89063,15.8,56363,30.2,2
396.155426,28,10.59941483,15,7,23,5.8,27789.44531,30.8,36666,26.6,1
399.0812073,28,10.62468338,15,10,26,6.5,22715.66602,49.7,49145,22.7,1
395.9073792,28,14.42510891,17,9,25,5.6,37309,22.1,31348,30.9,2.1
399.3664856,28,10.28340054,17,14,34,3.9,47208.16797,67,20738,33.7,1.1
385.5159302,28,7.636363983,7,0,8,4.4,43295.77734,50.4,23858,36,1.2
398.0826111,28,9.906048775,25,25,56,8.9,23110.88867,21.5,24668,30.9,5.4
400.1159058,28,7.961783409,11,7,20,5.9,40785,42.2,41702,38.2,1.4
401.7858887,28,10.97703457,13,2,15,6.8,33047,24.9,24861,31.9,1.7
390.1325684,28,12.9916172,3,3,7,4.3,35788.33203,35.3,29975,26.8,0.8
377.2720642,28,11.13744068,11,7,15,11.3,26578,23.4,39131,30.8,1.5
385.5792236,28,13.35280991,13,8,18,11.3,26578,23.4,39131,30.8,1.5
401.9528198,28,10.93941593,25,20,45,7.1,31289.11133,14.1,68295,29.2,2.2
402.819519,28,10.35838127,28,10,37,8.9,29937.33398,23.2,37900,31.3,3.3
405.3657227,28,10.73314953,13,7,20,7.4,34078.60938,23.5,35603,29.1,1.6
401.541626,28,10.2195406,12,4,15,7.4,34078.60938,23.5,35603,29.1,1.6
405.6209106,28,11.60262203,22,27,51,8.2,25789.88867,13.5,53077,29.6,3.6
399.8764954,28,13.33737564,14,20,34,8.2,25789.88867,13.5,53077,29.6,3.6
525.2299805,6,5.460000038,7,3,12,5.7,38485.44531,40.2,44821,33.6,1
473.3500061,6,2.150000095,15,2,18,7.1,31289.11133,14.1,68295,29.2,2.2
465.2999878,6,4.940000057,25,15,43,6,29491.77734,28.1,30863,32.2,3.1
476.9400024,6,4.820000172,14,5,21,5.8,27789.44531,30.8,36666,26.6,1
501.1700134,6,3.7099998,17,12,33,6,29491.77734,28.1,30863,32.2,3.1
507.9200134,6,5.349999905,13,6,19,7.4,34078.60938,23.5,35603,29.1,1.6
509.3900146,1,7.020000458,5,3,8,5.4,39927.10938,25.3,37995,25.6,0.7
584.496521,16,8.445450783,15,7,23,8.3,33006.89063,15.8,56363,30.2,2
561.145874,16,6.019854069,7,3,12,5.7,38485.44531,40.2,44821,33.6,1
541.0100098,16,2.339999914,10,5,13,12.8,26135.38867,32.3,19705,25.1,1.1
602.9622803,16,3.113666773,12,1,14,7.6,27066.33398,36.4,44074,24.2,1.1
576.0916138,16,2.227948666,3,1,4,9.2,31421.22266,11.3,26524,28.5,1.4
562.1774902,16,1.86301136,2,1,4,6.6,36601.27734,15,13612,32.9,0.8
529.0780029,16,4.535221577,5,1,6,4.3,45627,27.5,38168,29.9,1.2
594.7960815,16,8.508789063,10,6,15,6.4,38442.94531,17.6,37444,30,1.9
579.1914063,16,4.681815147,22,17,43,6.5,33988.94531,37,33384,33.1,2.6
617.0999146,16,6.09068346,8,4,13,10.8,24939.33398,14.8,33297,28.9,5.6
580.4193115,16,5.156059742,16,2,19,7.1,31289.11133,14.1,68295,29.2,2.2
563.6464844,16,6.459647179,18,5,25,6.8,33047,24.9,24861,31.9,1.7
534.5012207,16,3.141109943,15,9,21,11.3,26578,23.4,39131,30.8,1.5
570.0654907,16,5.417604923,28,10,38,8.9,29937.33398,23.2,37900,31.3,3.3
594.0762939,16,2.421208382,6,3,11,6,43374.33203,19.7,44310,29.1,1.3
585.5358887,16,3.759305477,5,2,7,5.2,45250.22266,17,25851,28.9,0.7
424.4200134,10,13.96718311,7,3,12,5.7,38485.44531,40.2,44821,33.6,1
457.9599915,10,11.19366169,7,5,12,6.1,38433.66797,22,62494,27.6,2.8
455.0799866,10,14.54678726,17,6,23,5.4,36232.55469,26.7,44625,27.9,2.9
448.2325134,10,15.33474636,23,18,44,6,29491.77734,28.1,30863,32.2,3.1
442.3699951,10,18.59293938,21,10,31,10.9,27994.05469,17,35622,29.7,3.1
414.7999878,10,17.86161995,17,7,25,5.6,25792,35.3,30540,25,1.6
444.5799866,10,13.67179489,25,26,56,8.9,23110.88867,21.5,24668,30.9,5.4
443.5799866,10,13.49705601,22,15,39,10.8,24939.33398,14.8,33297,28.9,5.6
439.3399963,10,11.40005112,30,24,55,7.1,31289.11133,14.1,68295,29.2,2.2
433.4400024,10,11.98032188,19,2,22,7.1,31289.11133,14.1,68295,29.2,2.2
480,1,4.300000191,12,8,17,11.3,26578,23.4,39131,30.8,1.5
555.5282593,16,4.223918438,7,2,10,5.3,39580.39063,42.8,42384,26.2,0.7
558.6052856,16,4.476275444,5,0,6,6.4,36459.39063,24.8,23703,31,0.7
560.1755371,16,4.469273567,10,5,14,12.8,26135.38867,32.3,19705,25.1,1.1
560.9081421,16,5.769230843,11,3,14,8.3,33006.89063,15.8,56363,30.2,2
560.1498413,16,6.359189987,1,0,1,5,34997,30.4,17249,30.6,0.6
544.2321167,16,4.770318031,19,7,26,5.4,36232.55469,26.7,44625,27.9,2.9
555.8517456,16,3.546957016,12,1,14,7.6,27066.33398,36.4,44074,24.2,1.1
552.6594238,16,7.262103081,22,12,37,7.5,27502,22.3,28936,30.8,2.7
